"Atomspaltung","","Kernspaltung Fission Kernfission"
"Wiederaufnahme","","Fortfuehrung"
"abreisen","","abfliegen wegfliegen abduesen (ugs.) davonfahren aufbrechen (von etwas) fortfahren abfahren wegfahren"
"Konzessions...","","Deputat..."
"Bildungsmaßnahme","","Seminar Weiterbildung Training Kursus Kurs Schulung Workshop Lehrgang"
"Mangelhaftigkeit","","Defizienz"
"zuwiderhandeln","","(eine Regel) mit den Fueßen treten (ugs.) boese sein (ugs., Kindersprache) vom sueßen Gift (des / der ...) naschen (geh., ironisierend, literarisch) (sich) hinwegsetzen (ueber) (ein) boeses Kind sein (ugs., Kindersprache, variabel) (etwas) Verbotenes tun (Hauptform) missachten"
"ueberwachen","","beaufsichtigen"
"sittliche Werte","","Wertesystem Wertmaßstaebe Moral Moralvorstellungen moralische Werte Ethik Wertvorstellungen Sittlichkeit"
"in einem Muskel","","intramuskulaer (fachspr.)"
"Impuls","","Bewegungsgroeße"
"Diffamierung","","Schmaehung Herabwuerdigung Verleumdung Rufschaedigung Diffamation (geh.) Diffamie (geh.) Verunglimpfung"
"Dichtungsband","","Dichtband"
"Urmensch","","Mensch der Altsteinzeit"
"aus etwas schlau werden (ugs.)","","etwas verstehen"
"Ankergrund","","Ankerplatz"
"Auftraggeber","","Mandant Kunde Adressat"
"SPD","","(die) Sozen (ugs.) Sozis (ugs., abwertend) Sozialdemokraten (die) alte Tante SPD (ugs.) Sozialdemokratische Partei Deutschlands"
"Kulturautonomie","","Kulturhoheit"
"Brevitaet","","Kuerze Praegnanz Komprimiertheit Lakonik (geh.)"
"mutig (Hauptform)","","(echt) Eier in der Hose haben (ugs., fig., salopp) wacker wagemutig kuehn tapfer couragiert keine Angst kennen weder Tod noch Teufel fuerchten (geh., veraltet)"
"ueberbezahlen","","ueberzahlen zu viel bezahlen zu hoch bezahlen"
"schlichtwegs","","schlechtwegs direkt geradewegs direktemang (ugs.) reinwegs einfach reinweg glatt glattwegs nachgerade (geh.) schlechthin (geh.) schlechtweg glattweg schlankwegs rein (ugs.) gerade platterdings schlankweg (ugs.) reinewegs rundweg schlicht und einfach geradezu geradezus (ugs., regional) gradweg (ugs.) freilich (ugs., sueddt.) schlechterdings (geh., veraltend) schlichtweg durchaus schlicht"
"schlecht unterrichtet","","schlecht informiert"
"Verzerrung","","Verkruemmung"
"Pastinake","","Moorwurzel Pastinak"
"sintern","","schmelzen fritten (fachspr.)"
"schleimig","","flutschig oelig schmierig schlierig glitschig (Hauptform)"
"UEFA","","Europaeischer Fußballverband"
"kann man so oder so verstehen (ugs.)","","doppeldeutig ambigue (geh.) doppelwertig ambig (geh.) mit zweifacher Bedeutung (Hauptform) zweigesichtig (geh.) doppelsinnig ambivalent zweideutig uneindeutig januskoepfig (geh.)"
"Gabe","","Schenkung Dotierung Stiftung"
"topfit","","athletisch gut in Form durchtrainiert (ugs.)"
"(sich) bemueßigt fuehlen (zu)","","(sich) veranlasst sehen muessen (etwas) zu tun haben genoetigt sein nicht umhinkoennen (zu) tun muessen nicht umhinkommen (zu) nicht anders koennen, als... gezwungen sein (sich) bemueßigt sehen (zu) (sich) gezwungen sehen (sich) genoetigt sehen"
"wahrheitsgetreu","","wahr aufrichtig der Wahrheit entsprechend wahrheitsgemaeß wahrhaftig"
"urzeitlich","","praehistorisch urgeschichtlich"
"Bibliografie","","Bibliognosie (veraltet) Bibliographie Bibliologie (veraltet)"
"Haube","","Fruchttraube Kamm"
"Merlin","","Zwergfalke"
"sonnenlos","","Schatten spendend schattig"
"Ohrenschmalz","","Cerumen (fachspr.)"
"Messung","","Vermessung Survey (fachspr.) Messen"
"Brotkruste","","Brotrinde"
"Waffenrock","","Uniformrock bunter Rock Uniformjacke"
"Abweichler","","Dissident Andersdenker Andersdenkender"
"Missionsfeldzug","","Glaubensfeldzug"
"Rotschopf (ugs.)","","Rothaariger"
"Leerschritt","","Abstand Leerstelle Leerschlag (schweiz.) Wortzwischenraum Leerzeichen (Hauptform)"
"Sitz","","Stuhl (Hauptform) ...sitz ...stuhl"
